ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg I-Flux/Error Z-Flux/Error Y-Flux/Error H-Flux/Error Image_used
GNDI-7326614165 z6_GND_23382 z6_gdnd_22136 189.38612558 62.23784989999999 0.14$\pm$0.05 0.962$\pm$0.066 1.115$\pm$0.104 1.689$\pm$0.076 North
GNDI-7286314415 z6_GND_20879 z6_gdnd_23786 189.36931056 62.244801198999994 -0.01$\pm$0.048 0.47$\pm$0.065 0.54$\pm$0.051 0.781$\pm$0.066 North
GNDI-7200314537 z6_GND_19744 - 189.33341622 62.248152826 0.051$\pm$0.039 0.178$\pm$0.053 0.355$\pm$0.044 0.548$\pm$0.074 North
GNDI-7163514576 z6_GND_19416 z6_gdnd_24856 189.31819974 62.24926418 -0.021$\pm$0.05 0.27$\pm$0.067 0.379$\pm$0.047 0.308$\pm$0.07 North
GNDI-7152015370 z5_GND_15432 z6_gdnd_27561 189.31330299 62.26022080600001 0.08$\pm$0.048 0.314$\pm$0.065 0.267$\pm$0.064 0.377$\pm$0.084 North
GNDI-7171617247 z6_GNW_25620 - 189.32146836 62.290099327 0.125$\pm$0.047 0.94$\pm$0.065 1.181$\pm$0.081 2.173$\pm$0.104 North
GNDI-6496110393 z6_GND_3649 z6_gdnd_8336 189.20673112 62.177507268 0.148$\pm$0.053 0.823$\pm$0.062 1.0$\pm$0.046 1.529$\pm$0.076 North
GNDI-7062411451 z6_GND_37114 z6_gdnd_12397 189.27600086 62.195807316999996 -0.004$\pm$0.053 0.25$\pm$0.065 0.376$\pm$0.048 0.541$\pm$0.075 North
GNDI-6507911018 z6_GND_40316 z6_gdnd_9639 189.21160015 62.183753962 0.03$\pm$0.063 0.294$\pm$0.083 0.428$\pm$0.048 0.505$\pm$0.077 North
GNDI-7103811556 z6_GND_36192 - 189.29323705 62.198694466000006 0.04$\pm$0.053 0.238$\pm$0.067 0.155$\pm$0.053 0.393$\pm$0.083 North
GNDI-6458911585 z6_GND_36100 z6_gdnd_13219 189.19126551 62.199508873999996 0.235$\pm$0.058 0.752$\pm$0.068 0.727$\pm$0.108 0.912$\pm$0.083 North
GNDI-7087412256 - - 189.28640575 62.207042343999994 0.121$\pm$0.05 0.523$\pm$0.066 0.445$\pm$0.044 0.526$\pm$0.072 North
GNDI-7019412263 z5_GND_33776 z6_gdnd_15133 189.25807885 62.207251057 0.032$\pm$0.056 0.228$\pm$0.07 0.184$\pm$0.057 0.497$\pm$0.088 North
GNDI-7010312280 - - 189.254304 62.207710172 0.25$\pm$0.053 0.545$\pm$0.062 0.531$\pm$0.046 0.37$\pm$0.067 North
GNDI-6499613560 z6_GND_25488 z6_gdnd_20794 189.20819238 62.232131896999995 0.137$\pm$0.051 0.631$\pm$0.06 0.72$\pm$0.071 0.492$\pm$0.073 North
GNDI-6496713551 - z6_gdnd_20749 189.20702473 62.231917003999996 0.05$\pm$0.053 0.383$\pm$0.068 0.495$\pm$0.075 0.459$\pm$0.082 North
GNDI-6570914030 z6_GND_24765 z6_gdnd_21249 189.23786359 62.234111775 0.094$\pm$0.055 0.455$\pm$0.067 0.508$\pm$0.075 0.469$\pm$0.083 North
GNDI-6440313146 - - 189.18350863 62.220630457 0.197$\pm$0.046 0.491$\pm$0.056 0.58$\pm$0.09 0.347$\pm$0.072 North
GNDI-6582114532 z6_GND_19841 - 189.24256599 62.248006018999995 0.05$\pm$0.051 0.363$\pm$0.066 0.343$\pm$0.076 0.43$\pm$0.075 North
GNDI-6596914547 - - 189.2487422 62.248453778999995 0.271$\pm$0.054 0.832$\pm$0.066 1.142$\pm$0.072 1.434$\pm$0.075 North
GNDI-6598214577 z6_GND_19428 - 189.24924228 62.249263073 0.115$\pm$0.052 0.26$\pm$0.068 0.424$\pm$0.075 0.349$\pm$0.081 North
GNDI-6434014203 z6_GND_23050 z6_gdnd_22446 189.18088406 62.238866553 0.106$\pm$0.05 0.261$\pm$0.062 0.309$\pm$0.059 0.341$\pm$0.065 North
GNDI-6554515087 z6_GND_18287 z6_gdnd_25665 189.23102861 62.252336215 -0.008$\pm$0.048 0.602$\pm$0.058 0.73$\pm$0.074 0.584$\pm$0.072 North
GNDI-7092816189 z6_GND_11494 z6_gdnd_30392 189.28866512 62.271810762 0.077$\pm$0.048 0.671$\pm$0.062 0.763$\pm$0.065 0.834$\pm$0.078 North
GNDI-6412516086 z6_GND_12436 z6_gdnd_29671 189.1719457 62.268985591 0.048$\pm$0.049 0.205$\pm$0.064 0.229$\pm$0.108 0.337$\pm$0.079 North
GNDI-7082817153 z6_GND_8220 z6_gdnd_33793 189.28456097 62.287508138999996 0.079$\pm$0.05 0.439$\pm$0.065 0.433$\pm$0.065 0.699$\pm$0.066 North
GNDI-7010016590 z6_GND_8934 z6_gdnd_32855 189.2541993 62.282973299 0.01$\pm$0.051 0.443$\pm$0.064 0.484$\pm$0.06 0.636$\pm$0.069 North
GNDI-7014917288 z6_GND_44138 z6_gdnd_34567 189.25621227 62.291252611000004 -0.013$\pm$0.047 0.232$\pm$0.058 0.274$\pm$0.048 0.477$\pm$0.073 North
GNDI-6453818026 z6_GND_43125 - 189.18913763 62.300661938999994 0.169$\pm$0.043 0.733$\pm$0.057 0.975$\pm$0.229 0.781$\pm$0.061 North
GNDI-6378010341 z6_GNW_11480 z6_gdnw_6980 189.15748044 62.176083098 0.153$\pm$0.045 0.404$\pm$0.06 0.493$\pm$0.1 0.633$\pm$0.111 North
GNDI-6377810356 z6_GNW_11543 z6_gdnw_7029 189.1574564 62.176494352 0.338$\pm$0.047 1.137$\pm$0.061 1.392$\pm$0.097 1.21$\pm$0.109 North
GNDI-6362112180 z6_GND_34565 z6_gdnd_14567 189.15084465 62.204938855 0.081$\pm$0.052 0.443$\pm$0.063 0.331$\pm$0.096 0.404$\pm$0.089 North
GNDI-6369212204 z6_GND_34344 z6_gdnd_14703 189.15382127 62.205590723 0.003$\pm$0.048 0.426$\pm$0.056 0.343$\pm$0.096 0.412$\pm$0.085 North
GNDI-6267812556 - - 189.11162633 62.215397952 0.057$\pm$0.046 0.432$\pm$0.058 0.634$\pm$0.097 0.762$\pm$0.089 North
GNDI-6297212561 - - 189.1238627 62.215501035 0.08$\pm$0.051 0.383$\pm$0.062 0.246$\pm$0.094 0.447$\pm$0.093 North
GNDI-6212614224 - - 189.08865542 62.239485587 0.245$\pm$0.049 0.682$\pm$0.064 0.605$\pm$0.092 0.984$\pm$0.077 North
GNDI-6138614216 z6_GND_22789 z6_gdnd_22515 189.05776499 62.239264035 0.242$\pm$0.052 0.752$\pm$0.065 1.016$\pm$0.064 1.067$\pm$0.073 North
GNDI-6166715343 - - 189.06949067 62.259425233 0.303$\pm$0.05 0.868$\pm$0.062 0.845$\pm$0.066 1.174$\pm$0.083 North
GNDI-6335917308 - - 189.13998255 62.291835088 0.012$\pm$0.058 0.383$\pm$0.077 0.434$\pm$0.067 0.637$\pm$0.09 North
GNDI-6255417241 z6_GND_44248 z6_gdnd_34343 189.1064715 62.289971328 0.031$\pm$0.05 0.302$\pm$0.065 0.323$\pm$0.045 0.445$\pm$0.082 North
GNDI-6326418256 z6_GND_42241 z6_gdnd_37954 189.13601393 62.307053683999996 0.149$\pm$0.048 0.447$\pm$0.064 0.32$\pm$0.053 0.45$\pm$0.081 North
GNDI-6288218160 - z6_gdnd_37355 189.12009061 62.3043843 0.105$\pm$0.062 0.584$\pm$0.08 0.48$\pm$0.043 0.602$\pm$0.107 North
XDFI-2391248184 - z6_xdf_828 53.163034644 -27.80513144 0.023$\pm$0.008 0.116$\pm$0.014 0.138$\pm$0.007 0.141$\pm$0.01 XDF
