ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg I-Flux/Error Z-Flux/Error Y-Flux/Error H-Flux/Error Image_used
GSDI-2465349583 z6_GSD_26917 z6_gdsd_19651 53.193893984 -27.83290182 0.103$\pm$0.052 0.455$\pm$0.075 0.47$\pm$0.04 0.558$\pm$0.069 South
GSDI-2470349499 z6_GSD_26147 z6_gdsd_20219 53.195975983000004 -27.83053739 0.204$\pm$0.055 0.584$\pm$0.071 0.54$\pm$0.038 0.569$\pm$0.066 South
GSDI-2460349297 z6_GSD_24282 z6_gdsd_21644 53.191817093999994 -27.82491785 0.219$\pm$0.053 1.089$\pm$0.072 0.961$\pm$0.033 1.107$\pm$0.071 South
GSDI-2355350055 z6_GSD_27580 z6_gdsd_19126 53.148027201000005 -27.83487417 -0.001$\pm$0.062 0.273$\pm$0.078 0.301$\pm$0.042 0.326$\pm$0.074 South
GSDI-2345950117 z6_GSD_28183 z6_gdsd_18683 53.144153258 -27.83659984 0.116$\pm$0.048 0.373$\pm$0.063 0.39$\pm$0.045 0.338$\pm$0.081 South
GSDI-2452349098 - - 53.188465325 -27.81940366 0.376$\pm$0.053 0.926$\pm$0.071 0.992$\pm$0.029 1.107$\pm$0.062 South
GSDI-2433449203 - z6_gdsd_22250 53.18060852 -27.82231983 0.285$\pm$0.054 0.822$\pm$0.072 1.143$\pm$0.027 1.531$\pm$0.064 South
GSDI-2409148447 - - 53.17047746300001 -27.81242521 0.061$\pm$0.008 0.269$\pm$0.015 0.312$\pm$0.034 0.283$\pm$0.049 XDF
GSDI-2364348341 - - 53.151858536000006 -27.80952613 0.071$\pm$0.008 0.265$\pm$0.015 0.334$\pm$0.047 0.266$\pm$0.058 XDF
GSDI-2478547463 - - 53.199357066000005 -27.79622567 0.022$\pm$0.009 0.305$\pm$0.02 0.548$\pm$0.051 0.592$\pm$0.065 XDF
GSDI-2425948088 - - 53.177490043 -27.80245351 0.05$\pm$0.008 0.281$\pm$0.016 0.379$\pm$0.046 0.205$\pm$0.047 XDF
GSDI-2427948032 - - 53.178331456 -27.80090266 0.011$\pm$0.008 0.254$\pm$0.015 0.238$\pm$0.045 0.223$\pm$0.055 XDF
GSDI-2415747442 z6_MAIN_5160 - 53.173206044 -27.79561017 0.033$\pm$0.009 0.392$\pm$0.017 0.556$\pm$0.013 0.571$\pm$0.015 XDF
GSDI-2313048082 z6_GSD_17921 - 53.13041951899999 -27.80228407 0.04$\pm$0.005 0.226$\pm$0.008 0.273$\pm$0.024 0.174$\pm$0.033 XDF
GSDI-2337848076 z6_GSD_17018 - 53.140744557 -27.80210825 0.072$\pm$0.008 0.449$\pm$0.015 0.376$\pm$0.05 0.427$\pm$0.06 XDF
GSDI-2350848068 - - 53.146167671 -27.80188349 0.013$\pm$0.008 0.182$\pm$0.016 0.175$\pm$0.054 0.285$\pm$0.06 XDF
GSDI-2345447559 z6_GSD_15972 - 53.143944131000005 -27.79888852 0.128$\pm$0.008 0.53$\pm$0.016 0.613$\pm$0.051 0.592$\pm$0.06 XDF
GSDI-2342847522 z6_GSD_15616 - 53.142849369 -27.79787388 0.059$\pm$0.008 0.236$\pm$0.016 0.247$\pm$0.052 0.416$\pm$0.066 XDF
GSDI-2334247448 z6_GSD_14965 - 53.139271705 -27.79580267 0.054$\pm$0.008 0.391$\pm$0.015 0.567$\pm$0.045 0.406$\pm$0.056 XDF
GSDI-2299747027 z6_GSD_10956 - 53.124894413999996 -27.7841346 0.241$\pm$0.055 0.482$\pm$0.071 0.603$\pm$0.033 0.434$\pm$0.071 South
GSDI-2323746214 z6_GSD_7215 - 53.134889795 -27.77262937 0.006$\pm$0.047 0.459$\pm$0.059 0.581$\pm$0.037 0.523$\pm$0.067 South
GSDI-2449546076 z6_GSD_6105 - 53.187302041 -27.76878424 0.019$\pm$0.056 0.398$\pm$0.073 0.424$\pm$0.041 0.585$\pm$0.072 South
GSDI-2390645387 z6_MAIN_101 - 53.162772167 -27.76076796 0.133$\pm$0.008 0.544$\pm$0.016 0.44$\pm$0.013 0.325$\pm$0.016 XDF
GSDI-2372045292 - z6_gdsd_39284 53.155045041 -27.75812678 0.028$\pm$0.046 0.202$\pm$0.062 0.227$\pm$0.04 0.306$\pm$0.074 South
GSDI-2364745240 - z7_gdsd_39598 53.151966431999995 -27.75667702 -0.075$\pm$0.047 0.15$\pm$0.063 0.265$\pm$0.039 0.299$\pm$0.068 South
GSDI-2348045458 - - 53.145018673 -27.76271055 0.07$\pm$0.055 0.307$\pm$0.071 0.382$\pm$0.042 0.405$\pm$0.074 South
GSDI-2312945251 - - 53.130373137 -27.75696384 0.206$\pm$0.056 0.605$\pm$0.074 0.533$\pm$0.036 0.899$\pm$0.067 South
GSDI-2340645185 z6_GSD_2947 z6_gdsd_39949 53.14193303800001 -27.75515433 0.125$\pm$0.053 0.621$\pm$0.074 0.52$\pm$0.036 0.692$\pm$0.064 South
GSDI-2431745175 - - 53.17989005800001 -27.75487594 0.133$\pm$0.055 0.582$\pm$0.07 0.462$\pm$0.045 0.47$\pm$0.071 South
GSDI-2359645099 z6_GSD_2446 - 53.14983457899999 -27.75275122 0.008$\pm$0.051 0.234$\pm$0.069 0.455$\pm$0.036 0.471$\pm$0.066 South
GSDI-2301245179 z6_GSD_2913 z6_gdsd_40021 53.125533218 -27.75496432 0.048$\pm$0.055 0.192$\pm$0.072 0.24$\pm$0.033 0.351$\pm$0.067 South
GSDI-2140952189 - - 53.05874658 -27.87192851 0.119$\pm$0.051 0.36$\pm$0.074 0.473$\pm$0.054 0.535$\pm$0.084 South
GSDI-2143952025 - - 53.0599459 -27.86740851 0.132$\pm$0.056 0.388$\pm$0.077 0.586$\pm$0.06 0.794$\pm$0.08 South
GSDI-2281451341 z6_GSD_33775 z6_gdsd_12265 53.117280482 -27.85947359 0.057$\pm$0.042 0.303$\pm$0.057 0.375$\pm$0.05 0.363$\pm$0.071 South
GSDI-2168151080 z6_GSD_32291 z6_gdsd_14279 53.070058726999996 -27.85221341 0.11$\pm$0.041 0.299$\pm$0.058 0.323$\pm$0.055 0.33$\pm$0.068 South
GSDI-2218250289 z6_GSD_29590 z6_gdsd_17339 53.090950846000005 -27.84135996 0.041$\pm$0.053 0.369$\pm$0.076 0.356$\pm$0.049 0.461$\pm$0.057 South
GSDI-2252850209 z6_GSD_28975 z6_gdsd_17958 53.105326266000006 -27.83913749 0.071$\pm$0.044 0.375$\pm$0.06 0.36$\pm$0.046 0.335$\pm$0.056 South
GSDI-2279049420 - - 53.116291247 -27.82833545 0.148$\pm$0.054 0.716$\pm$0.07 0.628$\pm$0.043 0.634$\pm$0.068 South
GSDI-2215049287 - z6_gdsd_21646 53.089603046 -27.82468916 0.111$\pm$0.054 0.455$\pm$0.074 0.579$\pm$0.054 0.668$\pm$0.059 South
GSDI-2150249506 z6_GSD_26186 - 53.062602938999994 -27.83073447 0.106$\pm$0.068 0.512$\pm$0.085 0.592$\pm$0.075 0.786$\pm$0.081 South
GSDI-2149449365 z6_GSD_24869 z6_gdsd_21190 53.062263596 -27.82682407 0.16$\pm$0.056 0.621$\pm$0.073 0.605$\pm$0.068 0.67$\pm$0.071 South
GSDI-2276848529 z6_GSD_21046 z6_gdsd_24201 53.115336637 -27.81469202 0.063$\pm$0.055 0.37$\pm$0.072 0.33$\pm$0.039 0.572$\pm$0.073 South
GSDI-2264948318 - z6_gdsd_25570 53.110392066 -27.80887165 -0.088$\pm$0.061 0.218$\pm$0.077 0.247$\pm$0.036 0.309$\pm$0.073 South
GSDI-2182948556 - z6_gdsd_23990 53.076242029 -27.81544724 0.002$\pm$0.055 0.837$\pm$0.072 1.433$\pm$0.058 1.707$\pm$0.071 South
GSDI-2263348266 z6_GSD_18691 z6_gdsd_25816 53.109731912 -27.80740741 0.044$\pm$0.052 0.572$\pm$0.072 0.55$\pm$0.039 0.917$\pm$0.076 South
GSDI-2281848186 z6_GSD_17985 z6_gdsd_26357 53.117458165 -27.8051836 0.142$\pm$0.054 0.8$\pm$0.073 1.073$\pm$0.036 1.293$\pm$0.072 South
GSDI-2229748055 - z6_gdsd_27378 53.095730999 -27.80155327 0.029$\pm$0.043 0.24$\pm$0.058 0.278$\pm$0.05 0.421$\pm$0.073 South
GSDI-2247947588 z6_GSD_16267 z6_gdsd_27868 53.103310232 -27.79966854 0.192$\pm$0.052 0.888$\pm$0.074 0.631$\pm$0.048 0.589$\pm$0.071 South
GSDI-2178548171 - - 53.074379495 -27.80476989 0.118$\pm$0.047 0.241$\pm$0.067 0.417$\pm$0.064 0.397$\pm$0.083 South
GSDI-2186047590 z6_GSD_16277 z6_gdsd_27761 53.077520012 -27.79973462 0.106$\pm$0.052 0.541$\pm$0.074 0.505$\pm$0.046 0.756$\pm$0.072 South
GSDI-2174547388 z6_GSD_14417 z6_gdsd_29448 53.072724911 -27.79412859 0.039$\pm$0.044 0.408$\pm$0.062 0.493$\pm$0.049 0.373$\pm$0.067 South
GSDI-2147447587 - z6_gdsd_27882 53.061402195 -27.79964475 0.312$\pm$0.051 0.921$\pm$0.067 0.523$\pm$0.05 0.441$\pm$0.073 South
GSDI-2122848213 z6_GSD_18240 - 53.051210352 -27.80590584 0.098$\pm$0.056 0.326$\pm$0.072 0.238$\pm$0.051 0.326$\pm$0.072 South
GSDI-2273847282 z6_GSD_13403 - 53.114108718999994 -27.79118361 0.14$\pm$0.053 0.743$\pm$0.071 0.732$\pm$0.04 0.867$\pm$0.069 South
GSDI-2284847073 - - 53.118684574 -27.78538525 -0.048$\pm$0.056 0.279$\pm$0.072 0.364$\pm$0.042 0.421$\pm$0.074 South
GSDI-2258246513 - z6_gdsd_33406 53.107572783 -27.78092585 0.121$\pm$0.045 0.393$\pm$0.058 0.43$\pm$0.04 0.452$\pm$0.071 South
GSDI-2260346450 z6_GSD_9255 z6_gdsd_33920 53.108469232 -27.77916998 0.044$\pm$0.045 0.365$\pm$0.067 0.548$\pm$0.038 0.969$\pm$0.074 South
GSDI-2157047074 - z6_gdsd_31970 53.065402004 -27.78539898 0.081$\pm$0.055 0.594$\pm$0.073 0.626$\pm$0.053 0.671$\pm$0.074 South
GSDI-2134146463 z6_GSD_9400 - 53.055893093 -27.77955739 -0.021$\pm$0.055 0.684$\pm$0.07 0.658$\pm$0.052 0.846$\pm$0.074 South
GSDI-2112346564 z6_GSD_10379 z6_gdsd_32963 53.046794786999996 -27.7823479 0.186$\pm$0.053 0.592$\pm$0.073 0.581$\pm$0.051 0.577$\pm$0.071 South
GSDI-2175546251 z6_GSD_7500 z6_gdsd_35522 53.073122682 -27.7736365 0.271$\pm$0.059 0.944$\pm$0.083 0.9$\pm$0.057 1.361$\pm$0.075 South
GSDI-2150046238 z6_GSD_7400 z6_gdsd_35641 53.062489936000006 -27.7732848 0.013$\pm$0.054 0.34$\pm$0.07 0.395$\pm$0.051 0.386$\pm$0.069 South
GSDI-2294145378 z6_GSD_4098 z6_gdsd_38779 53.12254785100001 -27.7604963 -0.002$\pm$0.056 0.532$\pm$0.071 0.609$\pm$0.036 0.601$\pm$0.07 South
GSDI-2109048094 - - 53.045453349 -27.80261622 0.074$\pm$0.043 0.181$\pm$0.057 0.344$\pm$0.054 0.376$\pm$0.072 South
GSDI-2063447220 - - 53.026475746 -27.78944759 0.057$\pm$0.07 0.199$\pm$0.092 0.261$\pm$0.052 0.452$\pm$0.078 South
GSDI-2060447055 z6_GSD_11224 - 53.025181479 -27.78487004 -0.004$\pm$0.068 0.601$\pm$0.097 0.552$\pm$0.047 0.74$\pm$0.109 South
- z5_GND_33500 - 189.26132798 62.20801528 0.311$\pm$0.051 0.948$\pm$0.067 0.948$\pm$0.046 1.209$\pm$0.075 North
- z5_GND_13996 z6_gdnd_28377 189.16214314 62.263815151 -0.019$\pm$0.043 0.364$\pm$0.059 0.572$\pm$0.095 0.795$\pm$0.074 North
- z5_GND_14430 - 189.34230388 62.262830811 0.374$\pm$0.044 0.994$\pm$0.056 0.936$\pm$0.047 1.058$\pm$0.088 North
- z5_GND_21520 z6_gdnd_23443 189.09194391 62.243142666000004 0.104$\pm$0.05 0.313$\pm$0.063 0.341$\pm$0.08 0.316$\pm$0.076 North
- z5_GND_16761 z6_gdnd_26645 189.13309671 62.25652912899999 0.147$\pm$0.049 0.409$\pm$0.064 0.203$\pm$0.05 0.344$\pm$0.076 North
- z5_GND_7766 - 189.13998086 62.29181287 0.085$\pm$0.058 0.437$\pm$0.079 0.449$\pm$0.065 0.663$\pm$0.087 North
GNDI-7019412263 z5_GND_33776 z6_gdnd_15133 189.25807885 62.207251057 0.032$\pm$0.056 0.228$\pm$0.07 0.184$\pm$0.057 0.497$\pm$0.088 North
GNDI-7152015370 z5_GND_15432 z6_gdnd_27561 189.31330216 62.26022079 0.08$\pm$0.048 0.312$\pm$0.065 0.267$\pm$0.064 0.376$\pm$0.084 North
GNWI-6164110300 z5_GNW_11324 - 189.06838769 62.174931206000004 0.376$\pm$0.052 0.988$\pm$0.07 1.093$\pm$0.106 1.204$\pm$0.219 North
- z5_GNW_6364 - 189.2119884 62.145457466 0.186$\pm$0.05 0.42$\pm$0.061 0.506$\pm$0.133 0.683$\pm$0.112 North
GNDI-7220413557 z6_GND_25400 - 189.34195313 62.232060425 0.16$\pm$0.044 0.49$\pm$0.055 0.596$\pm$0.055 0.621$\pm$0.079 North
- z6_GND_38075 z6_gdnd_11673 189.26035215 62.19255610800001 0.1$\pm$0.05 0.266$\pm$0.069 0.288$\pm$0.051 0.305$\pm$0.073 North
GNDI-6326418256 z6_GND_42241 z6_gdnd_37954 189.13601393 62.307053683999996 0.149$\pm$0.048 0.447$\pm$0.064 0.32$\pm$0.053 0.45$\pm$0.081 North
GNDI-6598214577 z6_GND_19428 - 189.24924213 62.249256923000004 0.118$\pm$0.051 0.251$\pm$0.067 0.431$\pm$0.075 0.344$\pm$0.081 North
- z6_GND_15034 z6_gdnd_27803 189.12204521 62.26131997 0.119$\pm$0.051 0.413$\pm$0.06 0.275$\pm$0.034 0.397$\pm$0.067 North
GNDI-6458911585 z6_GND_36100 z6_gdnd_13219 189.19126551 62.199508873999996 0.235$\pm$0.058 0.752$\pm$0.068 0.727$\pm$0.108 0.912$\pm$0.083 North
- z6_GND_31645 - 189.31719939 62.213664025 0.078$\pm$0.051 0.197$\pm$0.063 0.269$\pm$0.051 0.33$\pm$0.075 North
GNDI-6434014203 z6_GND_23050 z6_gdnd_22446 189.18085766 62.238860928 0.089$\pm$0.05 0.239$\pm$0.062 0.277$\pm$0.059 0.33$\pm$0.066 North
- z6_GND_31073 z6_gdnd_17108 189.12391043 62.215480887 0.037$\pm$0.053 0.289$\pm$0.063 0.272$\pm$0.096 0.411$\pm$0.092 North
GNDI-6362112180 z6_GND_34565 z6_gdnd_14567 189.15084433 62.204937338 0.081$\pm$0.052 0.445$\pm$0.063 0.343$\pm$0.096 0.407$\pm$0.089 North
GNDI-7145309590 z6_GND_2041 - 189.31058128 62.166315803 0.188$\pm$0.05 0.465$\pm$0.064 0.481$\pm$0.044 0.473$\pm$0.1 North
GNDI-7244411342 z6_GND_38003 z6_gdnd_11724 189.35179223 62.192748455 0.09$\pm$0.05 0.478$\pm$0.065 0.395$\pm$0.042 0.374$\pm$0.078 North
GNDI-6453818026 z6_GND_43125 - 189.18914445 62.300655941 0.18$\pm$0.043 0.742$\pm$0.057 0.981$\pm$0.226 0.781$\pm$0.062 North
GNDI-6138614216 z6_GND_22789 z6_gdnd_22515 189.05776424 62.239263251000004 0.239$\pm$0.052 0.753$\pm$0.065 1.016$\pm$0.063 1.066$\pm$0.073 North
GNDI-7103811556 z6_GND_36192 - 189.29323705 62.198694466000006 0.04$\pm$0.053 0.238$\pm$0.067 0.155$\pm$0.053 0.393$\pm$0.083 North
- z6_GND_36553 - 189.15636175 62.197786699 0.18$\pm$0.045 0.594$\pm$0.06 0.52$\pm$0.087 0.577$\pm$0.081 North
- z6_GND_36554 - 189.15639375 62.197645998999995 0.157$\pm$0.045 0.437$\pm$0.061 0.552$\pm$0.1 0.609$\pm$0.087 North
GNDI-6496110393 z6_GND_3649 z6_gdnd_8336 189.20673112 62.177508085 0.146$\pm$0.053 0.818$\pm$0.062 0.998$\pm$0.046 1.53$\pm$0.076 North
GNDI-6499613560 z6_GND_25488 z6_gdnd_20794 189.20819234 62.232132813999996 0.138$\pm$0.051 0.638$\pm$0.06 0.719$\pm$0.071 0.487$\pm$0.073 North
GNDI-6582114532 z6_GND_19841 - 189.24256599 62.248006018999995 0.05$\pm$0.051 0.363$\pm$0.066 0.343$\pm$0.076 0.43$\pm$0.075 North
GNDI-6507911018 z6_GND_40316 z6_gdnd_9639 189.2115929 62.183753995 0.042$\pm$0.063 0.273$\pm$0.083 0.42$\pm$0.048 0.502$\pm$0.077 North
GNDI-7200314537 z6_GND_19744 - 189.33341622 62.248152826 0.051$\pm$0.039 0.178$\pm$0.053 0.355$\pm$0.044 0.548$\pm$0.074 North
GNDI-6412516086 z6_GND_12436 z6_gdnd_29671 189.17195582 62.268994996 0.049$\pm$0.051 0.222$\pm$0.064 0.228$\pm$0.108 0.335$\pm$0.079 North
- z6_GND_32873 - 189.18983033 62.21015838100001 0.079$\pm$0.044 0.194$\pm$0.057 0.24$\pm$0.109 0.348$\pm$0.067 North
GNDI-7062411451 z6_GND_37114 z6_gdnd_12397 189.2759996 62.1958052 -0.012$\pm$0.053 0.25$\pm$0.065 0.383$\pm$0.048 0.546$\pm$0.075 North
- z6_GND_19366 - 189.3681865 62.249360724 -0.027$\pm$0.054 0.413$\pm$0.07 0.211$\pm$0.047 0.284$\pm$0.069 North
GNDI-6570914030 z6_GND_24765 z6_gdnd_21249 189.23786452 62.234111358 0.092$\pm$0.055 0.452$\pm$0.067 0.511$\pm$0.075 0.467$\pm$0.083 North
GNDI-7092816189 z6_GND_11494 z6_gdnd_30392 189.28866083 62.271811381000006 0.071$\pm$0.048 0.674$\pm$0.062 0.762$\pm$0.065 0.834$\pm$0.078 North
- z6_GND_9813 - 189.11153887 62.277937291 0.043$\pm$0.048 0.512$\pm$0.069 0.591$\pm$0.074 0.824$\pm$0.078 North
GNDI-7326614165 z6_GND_23382 z6_gdnd_22136 189.38612519 62.237850018 0.141$\pm$0.05 0.962$\pm$0.066 1.117$\pm$0.104 1.69$\pm$0.076 North
GNDI-7286314415 z6_GND_20879 z6_gdnd_23786 189.36930913 62.244801183999996 -0.011$\pm$0.048 0.469$\pm$0.065 0.541$\pm$0.051 0.781$\pm$0.066 North
GNDI-7310813124 z6_GND_29564 z6_gdnd_18089 189.37956081 62.220034063 0.099$\pm$0.053 0.65$\pm$0.067 0.578$\pm$0.06 0.881$\pm$0.075 North
GNDI-7010016590 z6_GND_8934 z6_gdnd_32855 189.2541993 62.282973299 0.01$\pm$0.051 0.443$\pm$0.064 0.484$\pm$0.06 0.636$\pm$0.069 North
GNDI-6369212204 z6_GND_34344 z6_gdnd_14703 189.15382127 62.205590723 0.003$\pm$0.048 0.426$\pm$0.056 0.343$\pm$0.096 0.412$\pm$0.085 North
GNDI-7082817153 z6_GND_8220 z6_gdnd_33793 189.28456097 62.287508138999996 0.079$\pm$0.05 0.439$\pm$0.065 0.433$\pm$0.065 0.699$\pm$0.066 North
GNDI-6255417241 z6_GND_44248 z6_gdnd_34343 189.10646780000002 62.289972991999996 0.035$\pm$0.05 0.3$\pm$0.065 0.328$\pm$0.045 0.442$\pm$0.082 North
GNDI-6554515087 z6_GND_18287 z6_gdnd_25665 189.23103441 62.25233554800001 -0.013$\pm$0.047 0.604$\pm$0.057 0.725$\pm$0.075 0.596$\pm$0.073 North
- z6_GND_3337 z6_gdnd_8056 189.24474766 62.175613943 0.016$\pm$0.051 0.142$\pm$0.063 0.29$\pm$0.048 0.417$\pm$0.077 North
GNDI-7161310114 z6_GND_2469 z6_gdnd_6999 189.31721148 62.169774577 0.029$\pm$0.049 0.475$\pm$0.06 0.595$\pm$0.049 0.651$\pm$0.092 North
GNDI-7163514576 z6_GND_19416 z6_gdnd_24856 189.31819581 62.249267399 -0.019$\pm$0.049 0.251$\pm$0.067 0.377$\pm$0.047 0.301$\pm$0.07 North
GNDI-7014917288 z6_GND_44138 z6_gdnd_34567 189.25621227 62.291252611000004 -0.013$\pm$0.047 0.232$\pm$0.058 0.274$\pm$0.048 0.477$\pm$0.073 North
- z6_GND_29625 z6_gdnd_18071 189.40362215 62.219872357 -0.012$\pm$0.048 0.21$\pm$0.062 0.297$\pm$0.071 0.407$\pm$0.075 North
- z6_GNW_10897 - 188.97608043 62.171900734 0.333$\pm$0.051 0.904$\pm$0.064 0.999$\pm$0.107 0.959$\pm$0.149 North
GNWI-5588610175 z6_GNW_10822 z6_gdnw_6275 188.99527208 62.171480478 0.211$\pm$0.052 0.618$\pm$0.061 0.671$\pm$0.088 0.968$\pm$0.126 North
GNWI-7538116328 z6_GNW_27915 - 189.47419142 62.275679701 0.274$\pm$0.063 0.799$\pm$0.076 0.742$\pm$0.094 0.857$\pm$0.123 North
- z6_GNW_21773 z6_gdnw_32897 189.35499292 62.312615883 0.445$\pm$0.046 1.258$\pm$0.069 1.216$\pm$0.1 1.319$\pm$0.127 North
- z6_GNW_30051 - 189.45519337 62.260637553 0.249$\pm$0.049 0.808$\pm$0.063 0.603$\pm$0.094 0.85$\pm$0.164 North
- z6_GNW_21404 z6_gdnw_33315 189.40362167 62.315530149 0.25$\pm$0.055 0.777$\pm$0.066 0.933$\pm$0.098 0.836$\pm$0.126 North
- z6_GNW_14534 - 188.98598227 62.195334433999996 0.361$\pm$0.054 0.867$\pm$0.065 0.851$\pm$0.101 0.779$\pm$0.126 North
- z6_GNW_8973 - 189.16780078 62.160205053 0.179$\pm$0.051 0.604$\pm$0.063 0.64$\pm$0.098 0.674$\pm$0.122 North
GNWI-5487812257 z6_GNW_16088 z6_gdnw_13023 188.95325007 62.207079457 0.34$\pm$0.054 0.902$\pm$0.064 0.958$\pm$0.108 1.098$\pm$0.122 North
GNWI-5590112456 z6_GNW_16618 z6_gdnw_14073 188.99587463 62.21257461 0.333$\pm$0.047 1.244$\pm$0.062 1.359$\pm$0.095 1.774$\pm$0.136 North
GNDI-6378010341 z6_GNW_11480 z6_gdnw_6980 189.15748044 62.176083098 0.153$\pm$0.045 0.404$\pm$0.06 0.493$\pm$0.1 0.633$\pm$0.111 North
GNDI-6377810356 z6_GNW_11543 z6_gdnw_7029 189.15745648 62.176493435 0.331$\pm$0.047 1.137$\pm$0.061 1.386$\pm$0.097 1.203$\pm$0.109 North
GNWI-7253518456 z6_GNW_21823 z6_gdnw_32933 189.35556341 62.312586548 0.232$\pm$0.05 0.7$\pm$0.07 0.736$\pm$0.106 0.583$\pm$0.139 North
GNWI-5508811587 z6_GNW_15180 z6_gdnw_11492 188.96204152 62.199584679 0.205$\pm$0.054 1.12$\pm$0.071 1.173$\pm$0.104 1.239$\pm$0.146 North
GNWI-6241411435 z6_GNW_14511 z6_gdnw_10568 189.10054408 62.195350219 0.15$\pm$0.055 0.721$\pm$0.068 0.777$\pm$0.098 1.263$\pm$0.22 North
- z6_GNW_32731 - 189.25538913 62.357750665 0.236$\pm$0.051 0.921$\pm$0.065 0.927$\pm$0.131 1.33$\pm$0.21 North
- z6_GNW_13256 z6_gdnw_9054 188.94557656 62.187486303 0.082$\pm$0.053 0.594$\pm$0.066 0.579$\pm$0.106 0.85$\pm$0.174 North
GNWI-6046112281 z6_GNW_16141 z6_gdnw_13116 189.01925752 62.207723466000004 0.117$\pm$0.052 0.486$\pm$0.064 0.656$\pm$0.091 0.74$\pm$0.119 North
- z6_GNW_15549 - 188.92760212 62.202419307 0.324$\pm$0.054 1.349$\pm$0.067 2.055$\pm$0.126 2.726$\pm$0.181 North
GNDI-7171617247 z6_GNW_25620 - 189.32146836 62.290099327 0.125$\pm$0.047 0.94$\pm$0.065 1.181$\pm$0.081 2.173$\pm$0.104 North
- z6_GNW_4155 - 189.13032344 62.13137371 0.195$\pm$0.05 0.458$\pm$0.066 0.496$\pm$0.104 0.537$\pm$0.127 North
GNWI-7138219247 z6_GNW_20152 z6_gdnw_34253 189.30760931 62.323457892 0.103$\pm$0.049 0.468$\pm$0.062 0.404$\pm$0.095 0.609$\pm$0.128 North
- z6_GNW_23409 - 189.47081276 62.301619973 0.04$\pm$0.054 0.282$\pm$0.066 0.512$\pm$0.108 0.529$\pm$0.121 North
GNWI-7165421239 z6_GNW_32543 z6_gdnw_36710 189.31892402 62.356550425 0.133$\pm$0.055 0.744$\pm$0.066 0.999$\pm$0.1 0.945$\pm$0.116 North
GNWI-7398919596 z6_GNW_22717 z6_gdnw_35230 189.41617577 62.333143459 0.241$\pm$0.053 0.68$\pm$0.07 0.852$\pm$0.114 0.969$\pm$0.118 North
GNWI-5489612251 z6_GNW_16070 z6_gdnw_12952 188.95401033 62.206892561000004 0.206$\pm$0.051 0.841$\pm$0.063 1.005$\pm$0.1 1.282$\pm$0.13 North
GNWI-6376006558 z6_GNW_2045 z6_gdnw_678 189.15668106 62.115434145 0.038$\pm$0.05 0.414$\pm$0.064 0.49$\pm$0.093 0.803$\pm$0.133 North
- z6_GNW_25652 z6_gdnw_29056 189.48922486 62.288078755 0.051$\pm$0.051 0.322$\pm$0.067 0.383$\pm$0.097 0.706$\pm$0.137 North
GNWI-6191208310 z6_GNW_5756 z6_gdnw_2414 189.07971874 62.141877421000004 0.092$\pm$0.052 0.583$\pm$0.066 0.783$\pm$0.1 0.595$\pm$0.119 North
GNWZ-7103021596 z6_GNW_18532 - 189.29295878 62.366486203 0.035$\pm$0.05 0.411$\pm$0.065 0.733$\pm$0.104 0.713$\pm$0.159 North
GNWI-6282309537 z6_GNW_9770 z6_gdnw_5310 189.11765599 62.164828741 0.065$\pm$0.058 0.518$\pm$0.071 0.611$\pm$0.104 1.034$\pm$0.127 North
GNWI-7331118044 z6_GNW_23437 z6_gdnw_31181 189.38799289 62.301178065 0.122$\pm$0.051 0.686$\pm$0.067 1.115$\pm$0.092 1.046$\pm$0.127 North
- z6_GNW_25971 - 189.33472618 62.286133966 -0.009$\pm$0.053 0.462$\pm$0.067 0.478$\pm$0.092 0.591$\pm$0.116 North
GNWI-7124218284 z6_GNW_22555 z6_gdnw_32168 189.30176246 62.307805553 0.052$\pm$0.045 1.144$\pm$0.056 1.659$\pm$0.108 1.812$\pm$0.143 North
- z6_GNW_3671 - 189.20350334 62.127973007 -0.007$\pm$0.048 0.2$\pm$0.064 0.31$\pm$0.141 0.732$\pm$0.133 North
- z5_GSD_12992 - 53.084230823999995 -27.78988597 0.18$\pm$0.048 0.457$\pm$0.065 0.438$\pm$0.051 0.336$\pm$0.065 South
- z5_GSD_11278 - 53.071054805 -27.78499958 0.196$\pm$0.052 0.43$\pm$0.073 0.662$\pm$0.055 0.742$\pm$0.071 South
- z5_GSD_15249 z6_gdsd_28676 53.062281946999995 -27.796771600000003 0.14$\pm$0.045 0.415$\pm$0.062 0.313$\pm$0.042 0.505$\pm$0.068 South
- z5_GSW_13489 - 53.127063764 -27.94112764 0.201$\pm$0.053 0.527$\pm$0.074 0.479$\pm$0.114 0.685$\pm$0.156 South
- z5_GSW_7405 z6_gdsw_4854 53.252849917 -27.89441615 0.037$\pm$0.075 0.331$\pm$0.094 0.47$\pm$0.096 0.652$\pm$0.139 South
- z5_MAIN_4394 - 53.138991102 -27.79031105 0.052$\pm$0.008 0.151$\pm$0.015 0.139$\pm$0.009 0.143$\pm$0.011 XDF
GSDI-2299747027 z6_GSD_10956 - 53.124894413999996 -27.7841346 0.241$\pm$0.055 0.482$\pm$0.071 0.603$\pm$0.033 0.434$\pm$0.071 South
- z6_GSD_29074 - 53.156786413999995 -27.83955206 0.305$\pm$0.055 0.867$\pm$0.07 0.967$\pm$0.043 1.162$\pm$0.067 South
