id wisp_id RA DEC FLUX_TOTAL_U FLUXERR_TOTAL_U FLUX_TOTAL_G FLUXERR_TOTAL_G FLUX_TOTAL_F475X FLUXERR_TOTAL_F475X FLUX_TOTAL_R FLUXERR_TOTAL_R FLUX_TOTAL_F600LP FLUXERR_TOTAL_F600LP FLUX_TOTAL_I FLUXERR_TOTAL_I FLUX_TOTAL_F814W FLUXERR_TOTAL_F814W FLUX_TOTAL_F110W FLUXERR_TOTAL_F110W FLUX_TOTAL_F140W FLUXERR_TOTAL_F140W FLUX_TOTAL_F160W FLUXERR_TOTAL_F160W FLUX_TOTAL_IRAC FLUXERR_TOTAL_IRAC comment
64_2_6 63 219.377548 -1.846494 0.6223952204347508 0.031243013275945395 1.1554369422214494 0.03224623685116507 0.8098050081310987 0.14276038457689622 -99.0 -99.0 2.3828663739440916 0.2175370551548807 3.628993989578777 0.06818778427503644 -99.0 -99.0 3.721428514640384 0.09508034584241083 -99.0 -99.0 4.694483689960932 0.3063883113116574 4.469986885049178 0.17950762474730056 -
64_2_7 1031 219.361206 -1.836874 0.12554408426845987 0.12554408426845987 0.14343866974552072 0.024969981193610952 0.12134621903348185 0.05043944440195623 -99.0 -99.0 0.2291006117807585 0.08002596480757314 -99.0 -99.0 -99.0 -99.0 0.2454857283648276 0.030422337101644232 -99.0 -99.0 0.2563458251511899 0.07464296175574196 0.003631 0.3311511357701301 -
64_2_8 37 219.375244 -1.836585 0.03216816212519155 0.019469189769239538 0.41666425915252814 0.026787478390758464 0.6937610085347351 0.08530300882937943 -99.0 -99.0 4.030435906081561 0.12888235883905394 7.178376763246156 0.061489273186137276 -99.0 -99.0 9.751236398615298 0.05872777488642431 -99.0 -99.0 11.472754007190144 0.18475116735127825 4.3916351142104935 0.17555214511995526 -
64_2_9 210 219.368073 -1.831808 0.0026338209566271627 0.00677316764382706 0.4331379621523486 0.02904342234935155 0.34972370717190543 0.07394317655359961 -99.0 -99.0 0.286360777916373 0.10429310286944732 0.10286467278239617 0.048916855998481286 -99.0 -99.0 0.4332857869130776 0.0458050262949954 -99.0 -99.0 1.0795085717370991 0.14873123231965013 1.5787241369901452 0.2083735551539908 -
64_2_10 206 219.365463 -1.828888 0.17956688501346085 0.034153598374578285 0.19094410233152245 0.0329408035062118 0.274932606177409 0.05043944440195623 -99.0 -99.0 0.4454779873941805 0.08002596480757314 -99.0 -99.0 -99.0 -99.0 0.5053895397535477 0.030422337101644232 -99.0 -99.0 0.5420336501181329 0.07464296175574196 1.4589024341925043 0.3311511357701301 -
64_2_11 35 219.361145 -1.826129 2.061703693291196 0.03645886610183483 3.1001752794448745 0.041117284132522094 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 10.0866336853724 0.09754964879470407 -99.0 -99.0 10.41357861528435 0.09591395959312088 -99.0 -99.0 12.519875206248813 0.2075716699367139 14.993611336934336 0.2140563468015862 -
64_2_12 61 219.359406 -1.823243 1.5804699719951176 0.03289916309025481 1.9474496984948235 0.03461893633687951 1.7750067135006502 0.10272530928068913 -99.0 -99.0 2.5683130754315435 0.3123711982835329 -99.0 -99.0 -99.0 -99.0 3.915615148396101 0.08295374501026688 -99.0 -99.0 3.8406081572581128 0.1875529998333048 4.308699922682522 0.18533322869049806 -
64_2_13 77 219.371643 -1.823598 0.6033735232719032 0.03228777077568951 1.0504762764471176 0.03550814569566425 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.4468591292852373 0.08209129811547444 -99.0 -99.0 3.314362450092585 0.07937624225225126 -99.0 -99.0 4.254024629440663 0.17636505018234416 6.974390320182263 0.19400072549461567 -
64_2_14 2021 219.382263 -1.822951 0.07866585167575922 0.02662770607980244 -99.0 -99.0 0.09621133679029507 0.05043944440195623 -99.0 -99.0 0.1742714516927885 0.08002596480757314 0.3079968316201422 0.05526184286598848 -99.0 -99.0 0.2640677710125597 0.04292508857738258 -99.0 -99.0 0.6287791912063058 0.14213355424051954 0.24278745848496214 0.3311511357701301 -
64_2_15 19 219.375214 -1.819262 0.7435432731579524 0.03129771353349767 1.4619962171742285 0.03272221431089044 1.5282696904097848 0.08238376955951457 -99.0 -99.0 5.2708999708870445 0.3133315436489627 15.74077999425119 0.08119035458027693 -99.0 -99.0 25.327947656899948 0.09331181862182092 -99.0 -99.0 36.94877122539325 0.20418749486162824 100.8384703049722 0.2507726534249101 Hb-artificat
64_2_16 261 219.373138 -1.816697 0.26581914018852154 0.026270971485887782 -99.0 -99.0 0.31508392650628503 0.05043944440195623 -99.0 -99.0 0.4725265864920202 0.08002596480757314 -99.0 -99.0 -99.0 -99.0 0.37019133485298095 0.030422337101644232 -99.0 -99.0 0.8872096336831774 0.07464296175574196 0.015762541714473676 0.3311511357701301 -
64_2_18 148 219.377258 -1.81113 0.26618663670144505 0.027753824513773208 -99.0 -99.0 0.6229113567901614 0.05043944440195623 -99.0 -99.0 0.7247887636160449 0.13455492292614318 1.2663281142169818 0.061700982999058976 -99.0 -99.0 1.0619452692576803 0.058076758293894123 -99.0 -99.0 1.4060212910708727 0.19376872318678612 1.2222111711772066 0.16120534191081878 -
309_2_1 123 324.821655 -38.423347 0.5813882481103463 0.031808475580505265 0.5304277649684188 0.036788441284076566 -99.0 -99.0 0.5288667320389707 0.05635984240297402 -99.0 -99.0 -99.0 -99.0 0.7236900536613678 0.07885654841366012 0.9830166432265374 0.05444488626434304 -99.0 -99.0 1.276462101253481 0.16767355100874234 0.6803090509257608 0.1649234062850329 -
309_2_3 1035 324.810425 -38.428787 0.1799808294343242 0.02793291863284851 0.18580878731835154 0.03371495910630492 -99.0 -99.0 0.12101138983609515 0.04663458184343945 -99.0 -99.0 -99.0 -99.0 0.09701217665165264 0.06316493026743496 0.2274187399437093 0.027518495826888253 -99.0 -99.0 0.0955930346908732 0.06462656819812837 0.1551766060365357 0.2679330259598767 -
