ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Z-Flux/Error Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GNDZ-6486116321 z7_GND_10527 z7_gdnd_31229 189.20258012 62.275512415 0.108$\pm$0.063 0.571$\pm$0.097 0.518$\pm$0.059 0.478$\pm$0.075 North
GNDZ-6431516569 - - 189.1798243 62.282394495 0.01$\pm$0.062 0.317$\pm$0.088 0.346$\pm$0.06 0.336$\pm$0.07 North
GNDZ-6420316564 - - 189.17512096 62.282264481999995 0.32$\pm$0.066 0.497$\pm$0.097 0.719$\pm$0.065 0.683$\pm$0.069 North
GNDZ-6391816550 z7_GND_44859 - 189.16326786 62.28186857 -0.015$\pm$0.066 0.233$\pm$0.046 0.259$\pm$0.059 0.351$\pm$0.075 North
GNDZ-6452018113 z7_GND_42808 - 189.18839498 62.303037391000004 0.085$\pm$0.053 0.799$\pm$0.222 0.728$\pm$0.045 0.612$\pm$0.058 North
GNDZ-6427518385 z7_GND_41647 - 189.17812298 62.31063627 0.071$\pm$0.068 0.432$\pm$0.188 0.408$\pm$0.05 0.44$\pm$0.068 North
GNDZ-6355614173 - - 189.14818862 62.238063697 0.039$\pm$0.048 0.194$\pm$0.088 0.382$\pm$0.058 0.426$\pm$0.073 North
GNDZ-6187914126 z6_GND_23763 z7_gdnd_21965 189.07830929 62.236764879 0.092$\pm$0.062 0.375$\pm$0.091 0.436$\pm$0.059 0.343$\pm$0.079 North
GNDZ-6364715350 z7_GND_15642 z7_gdnd_27388 189.15199333 62.25963066 0.212$\pm$0.064 0.415$\pm$0.093 0.555$\pm$0.052 0.585$\pm$0.07 North
GNDZ-6331416282 - - 189.13811482 62.27442659800001 -0.007$\pm$0.064 0.248$\pm$0.045 0.332$\pm$0.053 0.424$\pm$0.069 North
GNDZ-6333916313 z7_GND_10568 z7_gdnd_31184 189.13915948 62.275309023999995 0.047$\pm$0.068 0.227$\pm$0.057 0.265$\pm$0.065 0.381$\pm$0.078 North
GNDZ-6332416324 - z7_gdnd_31243 189.13852893 62.2756064 0.005$\pm$0.065 0.352$\pm$0.046 0.517$\pm$0.053 0.482$\pm$0.074 North
GNDZ-6379317005 - z7_gdnd_32962 189.15805732 62.283400959 -0.002$\pm$0.063 0.308$\pm$0.047 0.406$\pm$0.056 0.458$\pm$0.065 North
GNDZ-6372717115 z7_GND_8358 z7_gdnd_33589 189.15530274 62.286461985 0.12$\pm$0.065 0.551$\pm$0.043 0.672$\pm$0.054 0.601$\pm$0.066 North
GNDZ-6371117347 z7_GND_43951 z7_gdnd_34930 189.15460921 62.292915283999996 0.053$\pm$0.065 0.41$\pm$0.046 0.52$\pm$0.048 0.484$\pm$0.063 North
GNDZ-6288817417 z7_GND_43797 z7_gdnd_35407 189.12032357 62.294873564 -0.023$\pm$0.067 0.329$\pm$0.047 0.356$\pm$0.063 0.436$\pm$0.082 North
GNDZ-6335818304 - - 189.13994122 62.308361557 0.331$\pm$0.064 0.555$\pm$0.158 0.768$\pm$0.059 0.848$\pm$0.075 North
XDFZ-2383548042 - z7_xdf_1249 53.15983477 -27.801163 0.031$\pm$0.015 0.053$\pm$0.008 0.048$\pm$0.01 0.062$\pm$0.01 XDF
XDFZ-2389347456 - z7_xdf_1844 53.162241436 -27.79598567 0.022$\pm$0.015 0.057$\pm$0.008 0.045$\pm$0.012 0.05$\pm$0.011 XDF
