X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID_Bouwens RAh RAm RAs DEdeg DEm DEs F160W rset dset zphot Z-bin
189.48692461 62.26105481 3126.961 11603.86 2.744e-31 3.9405999999999983e-32 7.445e-31 3.605099999999998e-32 8.512e-31 6.764899999999997e-32 9.234999999999999e-31 9.027999999999996e-32 8.106999999999995e-31 7.579999999999997e-32 8.668e-31 1.192e-31 0.0 0.0 1.1171999999999999e-30 1.5859999999999999e-31 North 0.748 0.1788 60.2073 0.0 0.0 107.0 0.0 1.0 3.45 3.367 0.01865168539325847 0.2225 1 GNWB-7568715401 12 37 56.87 62 15 40.1 26.11 4 6 3.45 4.0
189.46964732 62.26349532 3610.001 11748.428999999998 4.4e-32 3.9954999999999993e-32 3.093e-31 2.989e-32 4.32e-31 5.0874e-32 4.999e-31 6.368399999999997e-32 4.774e-31 8.909999999999998e-32 9.031999999999997e-31 1.219e-31 0.0 0.0 2.3059999999999997e-30 1.775e-31 North 3.5616 0.2219 33.0094 0.0 0.0 107.0 97.0 2.0 2.72 2.812 0.024731182795698827 0.01678 1 GNWB-7527115490 12 37 52.71 62 15 49.0 24.39 4 6 2.72 4.0
189.4702491 62.263911811999996 3593.29 11773.481000000002 1.7649999999999995e-31 3.812499999999998e-32 5.481999999999999e-31 3.1049e-32 9.567e-31 4.995899999999999e-32 1.0596999999999999e-30 6.728299999999999e-32 1.2684e-30 9.449999999999999e-32 1.6061e-30 1.2239999999999999e-31 0.0 0.0 3.4366e-30 1.775e-31 North 1.7618 0.3528 88.0446 0.0 0.0 107.0 97.0 7.0 3.15 2.6210000000000004 0.12746987951807215 0.2413 1 GNWB-7528915504 12 37 52.89 62 15 50.4 24.4 4 6 3.15 4.0
189.47851673 62.265848446999996 3362.874000000001 11890.555 -4.17e-32 4.495699999999998e-32 2.276e-31 3.4220999999999997e-32 3.1629999999999997e-31 5.6547e-32 4.674e-31 7.5091e-32 3.1029999999999997e-31 1.021e-31 4.0299999999999985e-31 1.234e-31 0.0 0.0 7.704999999999998e-31 1.6019999999999996e-31 North 17.5087 0.0873 38.3778 14.0 0.0 107.0 0.0 2.0 4.01 3.5069999999999997 0.10039920159680632 -99.0 1 GNWB-7548415574 12 37 54.84 62 15 57.4 26.63 4 6 4.01 4.0
189.47229526 62.267170875 3536.889 11969.238 1.0689999999999999e-31 3.861299999999998e-32 2.768e-31 3.056099999999998e-32 5.16e-31 5.3497e-32 5.7709999999999995e-31 6.4416e-32 6.645999999999999e-31 9.91e-32 7.998e-31 1.2939999999999999e-31 0.0 0.0 9.312999999999999e-31 1.8469999999999997e-31 North 281.5022 0.262 -52.297 6.0 0.0 0.0 97.0 7.0 3.87 2.388 0.3043121149897331 -99.0 -99 GNWB-7533516020 12 37 53.35 62 16 2.0 27.08 4 6 3.87 4.0
189.46120877 62.267865023999995 3846.583 12009.748 6.48e-32 3.7819999999999997e-32 2.1309999999999996e-31 3.1598e-32 3.745e-31 5.0996e-32 3.7579999999999997e-31 6.350099999999998e-32 5.329999999999998e-31 9.73e-32 4.202e-31 1.188e-31 0.0 0.0 7.988e-31 1.716e-31 North 0.0034 0.6818 9.0815 12.0 0.0 0.0 0.0 2.0 4.22 2.8360000000000003 0.2651340996168581 0.1785 1 GNWB-7506916046 12 37 50.69 62 16 4.6 25.92 4 6 4.22 4.0
189.47926974 62.268611457 3342.49 12056.416 -2.9999999999999996e-34 3.8673999999999987e-32 2.2519999999999997e-31 2.9706999999999997e-32 4.0649999999999995e-31 4.7275e-32 4.593e-31 6.313499999999997e-32 4.165e-31 8.4e-32 7.573e-31 1.052e-31 0.0 0.0 8.575e-31 1.382e-31 North 1.5536 0.0799 26.6859 8.0 0.0 0.0 0.0 2.0 4.43 3.4730000000000003 0.17624309392265186 -99.0 1 GNWB-7550216072 12 37 55.02 62 16 7.2 26.4 4 6 4.43 4.0
189.45269601 62.255380526 4081.669 11259.843 4.2e-32 4.367599999999998e-32 1.409e-31 3.7576e-32 9.5e-32 5.7889e-32 1.3289999999999995e-31 7.1919e-32 3.9399999999999995e-32 1.116e-31 4.8499999999999995e-32 1.388e-31 0.0 0.0 4.45e-31 2.027e-31 North 37.7882 0.0764 27.5248 14.0 0.0 107.0 0.0 6.0 2.79 2.687 0.02717678100263857 0.6920000000000001 1 GNWB-7486315197 12 37 48.63 62 15 19.7 26.44 4 6 2.79 4.0
189.49065458 62.269275215 3024.792 12097.5 1.118e-31 4.0625999999999996e-32 3.0229999999999997e-31 2.867e-32 4.303e-31 4.9105e-32 5.643e-31 6.392799999999997e-32 6.643999999999998e-31 1.047e-31 4.968e-31 1.13e-31 0.0 0.0 7.502999999999999e-31 1.215e-31 North 1.5849 0.0627 -61.2035 8.0 0.0 107.0 0.0 3.0 4.06 3.948 0.02213438735177859 -99.0 1 GNWB-7577516097 12 37 57.75 62 16 9.7 26.5 4 6 4.06 4.0
189.51414355 62.271055266000005 2369.4770000000008 12207.076 -2.2499999999999997e-32 3.9954999999999993e-32 4.871e-31 2.8059999999999995e-32 1.0557999999999999e-30 5.038599999999998e-32 1.1354e-30 6.307399999999997e-32 1.0329e-30 9.66e-32 1.1592e-30 1.122e-31 0.0 0.0 8.534e-31 1.2630000000000001e-31 North 2.0976 0.0773 -52.0463 8.0 0.0 0.0 0.0 2.0 4.16 4.382 0.043023255813953394 -99.0 1 GNWB-8033916160 12 38 3.39 62 16 16.0 26.16 4 6 4.16 4.0
189.47310491 62.269241732 3514.752 12093.574 3.54e-32 3.9222999999999996e-32 3.615999999999999e-31 3.2696e-32 1.0004e-30 5.605899999999999e-32 1.2562e-30 6.6856e-32 8.462e-31 9.32e-32 1.0281999999999999e-30 1.031e-31 0.0 0.0 1.0333e-30 1.281e-31 North 1.0985 0.1002 -78.097 0.0 0.0 107.0 0.0 1.5 4.37 4.338 0.0059590316573556856 0.01636 1 GNWB-7535416096 12 37 53.54 62 16 9.6 26.09 4 6 4.37 4.0
