id SFR_ha SFR_ha_err SFR_uv SFR_uv_err SFR_sed SFR_sed_l68 SFR_sed_u68 M_star_mean M_star_median M_star_68_l Mv EW_rest_corr EW_rest_err_corr metal_O32 metal_O32_err metal_R23 metal_R23_err comment
62_1_5 26.01419453641523 5.214210478968825 -99.0 -99.0 52.093742 36.001247 67.88643 10.386509 10.32572 10.214894 -20.85095116672972 89.52665319902711 17.200814409227384 -99.0 -99.0 -99.0 -99.0 -
62_1_6 3.4555097713586416 0.3783840813739645 -99.0 -99.0 0.92912745 0.81721693 1.0345334000000002 9.065503 8.979467999999997 8.742396000000001 -18.938531928722178 56.74195303559871 5.871459003236247 8.62 0.01 8.54 0.02 -
62_1_7 8.550596967842557 0.4410881870191544 -99.0 -99.0 2.6365707 1.9681654 3.2904449 7.4058259999999985 7.375594599999999 7.275103 -16.437274819793778 36860.42697048242 1901.1967499519524 -99.0 -99.0 -99.0 -99.0 -
62_1_8 0.8153340630173307 0.2503292580535958 -99.0 -99.0 0.44339758 0.28155726 0.5882319 7.295317999999999 6.836801 6.6296979999999985 -99.0 488.9823634604106 149.29785923753667 -99.0 -99.0 -99.0 -99.0 -
62_1_9 42.44507914786031 18.358209384001643 -99.0 -99.0 93.205605 89.40375 96.72542 8.956541 8.950646 8.932269999999997 -20.25053064894519 344.5872144561403 147.43783333333334 -99.0 -99.0 -99.0 -99.0 -
62_1_11 2.8718998954778425 0.3192427508658716 -99.0 -99.0 0.6593998000000001 0.5617694999999999 0.7574801999999999 8.674797 8.634589 8.336358 -18.10385050187023 131.45793859215746 14.27794741588086 8.51 0.01 8.09 0.06 -
62_1_13 -99.0 -99.0 -99.0 -99.0 55.352036 47.08755 65.137764 8.814433 8.745882 8.667575 -19.42603421092412 140.04946 22.275499999999994 -99.0 -99.0 -99.0 -99.0 -
62_1_14 -99.0 -99.0 -99.0 -99.0 101.52425 39.463455 155.35172 10.368044 10.321875 10.117549 -20.78956637099463 95.2954 -99.0 8.46 0.05 8.63 0.49 -
62_1_15 6.137276325369501 0.41772348649125135 -99.0 -99.0 3.920702200000001 2.8702693 4.926686 7.5937285 7.575363 7.4445863 -16.507230464133066 4112.822187339864 279.69175772419 -99.0 -99.0 -99.0 -99.0 -
62_1_16 16.557366885467573 1.9003998552429653 -99.0 -99.0 5.6210995000000015 4.4925203 6.581569 10.024735 9.966908 9.927513 -99.0 23.882914304031083 2.407431920835357 8.52 0.01 8.8 0.02 Extended_relative_to_slit
62_1_17 7.784616470829247 1.728538481138688 -99.0 -99.0 4.368798 2.5324132 6.0342026 7.871942 7.6108785 7.4002757 -15.856191915497297 425.95188386883694 93.59951545175747 -99.0 -99.0 -99.0 -99.0 -
64_2_5 37.73912401277232 3.5275667662697416 147.46679247955012 8.867395326452726 36.23452 31.588549 40.418594 10.76365 10.81725 10.784032 -21.56494600340568 55.79982726349333 4.775189523999202 8.63 0.05 -99.0 -98.0 -
64_2_6 2.106306339357129 0.37630770594124585 2.8302526556088936 0.4989447502886973 0.4886263 0.44567242 0.53094757 9.208709 9.207882 9.190954 -18.500558289359684 52.33730008330951 8.797148412925367 8.64 0.02 8.64 0.04 -
64_2_7 2.9599346707496443 0.8698404485462743 1.4361115176234824 0.5969421019058855 1.1929376 0.8400989999999999 1.5688074 7.337691 7.073619 6.9275354999999985 -16.414617227732855 1370.9571686152103 401.7532108399547 -99.0 -99.0 -99.0 -99.0 -
64_2_8 4.826013668083227 0.8586621668158609 3.2205258046896814 0.3959872892437619 0.0024880888 0.0003236693 0.004436782 9.9463215 9.934818 9.923482 -19.65490145212177 16.025603942382965 2.2754518240175337 -99.0 -99.0 -99.0 -99.0 -
64_2_9 -99.0 -99.0 44.95141941993634 4.75206205861678 88.70871 75.51106999999998 101.85127 8.931832 8.918664 8.857967 -99.0 -92.63332 -99.0 7.96 0.21 8.52 -98.0 -
64_2_10 1.6984194961940875 0.3321003281315769 1.491479407838613 0.2736284855925535 1.010045 0.7026014 1.2831229 8.03421 7.9093575 7.7508063 -16.851025876059076 299.96888927933514 58.00517960276093 8.33 0.02 7.88 0.25 -
64_2_11 11.700436991895563 1.335789306232538 18.919932661519056 0.9459966330759528 6.8592143 5.8323274000000005 7.961939 9.852151 9.852231 9.842221 -20.088786924608694 73.76133373031544 8.034793727425956 -99.0 -99.0 -99.0 -99.0 -
64_2_12 9.61543656666074 1.3742871858084416 23.566272662267274 1.3638554882139424 6.077922 5.4948435 6.663722 9.006866 9.005522000000003 8.959213 -19.717129173704873 95.50985657003321 13.093786520804848 8.37 0.05 8.66 0.1 -
64_2_13 30.362578071471308 7.305062913183925 61.96316861750993 3.515640772624677 30.058737 18.711222 40.773197 10.320694 10.313173 10.156174 -20.527139779838624 143.33813465573374 33.272905251416866 -99.0 -99.0 -99.0 -99.0 -
64_2_14 3.644907320749237 0.8924680834928542 1.934868114819344 1.0143677030001783 2.8150618 2.101488 3.509930600000001 7.8767004 7.4844035999999985 7.333609599999999 -17.30841381766651 -22238.476726778885 -5446.434181331291 -99.0 -99.0 -99.0 -99.0 -
64_2_15 30.10012043729362 3.765348835374373 17.670641665153013 0.9525635953169866 20.357178 14.775313 26.416399 10.995217 10.994873 10.9870825 -21.6231970415405 49.742855221928664 5.748002675033025 8.2 0.04 -99.0 -99.0 Hb-artificat
64_2_16 -99.0 -99.0 36.606696590484646 6.199621982796315 12.906508 9.493886 15.945444 8.276968 8.144810000000001 8.033764999999999 -19.438396844663018 -93.12484 -99.0 8.2 0.13 8.45 -98.0 -
64_2_18 0.6078679337839975 0.13592028362678898 1.6360062095915555 0.13247349458383129 0.8420283000000002 0.51246125 1.1365596000000002 8.271262 8.242252 8.100465 -99.0 86.30922674072521 18.63495971494445 -99.0 -99.0 -99.0 -99.0 -
309_2_1 33.20645641323443 3.872847735148108 32.14470318527625 3.5026325567804126 14.798387 13.660765 15.917520499999998 8.15339 8.146806 8.115153999999999 -19.312041581151387 655.8804073398593 75.90010876409639 8.02 0.14 8.36 0.11 -
309_2_3 -99.0 -99.0 4.59286872748554 2.9904311284635505 2.5062454 1.9676156 3.0249562 7.4437003 7.3667917 7.283798700000001 -17.246158915963672 -93.82824 -99.0 -99.0 -99.0 -99.0 -99.0 -
309_2_4 -99.0 -99.0 65.54186646596925 3.2770933232984625 7.899696400000002 7.1463966 8.618477 8.456693 8.448678 8.39955 -19.115723554864854 -93.53847999999999 -99.0 8.25 0.04 -99.0 -99.0 -
309_2_5 -99.0 -99.0 97.16121469292557 10.359248855350042 34.00462 28.441927000000003 39.021255 9.441709 9.440216 9.374149 -20.501922902944415 -93.25084 -99.0 8.41 0.04 -99.0 -99.0 -
309_2_6 1.0861875531863388 0.2025968278793652 0.8546571276355757 0.20529349386208648 0.7128233 0.4907844 0.9231882 7.1975546 6.9532776 6.789931 -15.875313549006274 584.6530442105262 108.44515964912284 -99.0 -99.0 -99.0 -99.0 -
309_2_7 -99.0 -99.0 -99.0 -99.0 17.718353 12.463467 22.697731 9.277782 9.27402 9.144318 -19.622670458764667 -93.65496 -99.0 -99.0 -98.0 8.47 -98.0 -
309_2_8 3.4973752637405187 0.5743498997124555 4.090715570986641 1.215873551402219 1.3207301000000002 0.96993333 1.6332004999999998 7.4484270000000015 7.127756 6.9833727 -16.89098273400806 429.26885565217395 69.77405217391305 -99.0 -99.0 -99.0 -99.0 -
309_2_9 0.4897983692541199 0.1464749548434891 0.2641488685116185 0.2641488685116185 0.62176275 0.24207358 0.9736298 7.005962400000001 6.8356309999999985 6.554537299999999 -99.0 -6141.387219435607 -1837.4466957414056 -99.0 -99.0 -99.0 -99.0 -
309_2_11 3.10564684378118 0.42522289325552304 4.624842773351029 0.2312421386675515 0.97463536 0.92418826 1.0266901 9.612203 9.603983 9.577819 -99.0 26.590892052969235 3.239852870537918 8.74 0.03 8.83 0.02 -
