X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID(Fink) IAU IAU2 RA Dec ZPhot b_ZPhot B_ZPhot 1500Mag b_1500Mag B_1500Mag
189.15201431 62.220833846000005 12482.721000000001 9177.478000000001 1.273e-31 3.440399999999999e-32 2.8809999999999997e-31 3.1292999999999994e-32 4.152e-31 5.227699999999997e-32 6.125e-31 6.6429e-32 5.958e-31 9.39e-32 6.27e-31 5.61e-32 9.618e-31 1.7969999999999994e-31 1.1471999999999999e-30 8.349999999999999e-32 North 2.5921 0.0791 79.3317 8.0 0.0 0.0 0.0 7.0 3.44 2.9760000000000004 0.1045045045045044 -99.0 1 z4_GND_29320 HRG14 J123636.48+621315.0 189.152008 62.22084 3.44 0.53 3.83 -19.12 -19.4 -18.83
189.13436036 62.268621634 12972.22 12045.393999999998 6.129999999999999e-32 3.7515e-32 3.051e-31 3.0012e-32 5.1979999999999995e-31 4.8921999999999994e-32 6.737e-31 6.6368e-32 7.401999999999998e-31 5.41e-32 1.0598e-30 6.42e-32 1.3724999999999999e-30 1.9399999999999998e-31 1.8911999999999998e-30 8.119999999999999e-32 North 7.141 0.2419 -87.77799999999998 4.0 0.0 0.0 0.0 2.0 3.44 3.544 0.023423423423423347 0.1507 1 z4_GND_12477 HRG14 J123632.25+621607.0 189.134369 62.268616 3.44 3.11 3.93 -19.03 -19.3 -18.71
189.12320012 62.250733123 13285.556999999999 10972.565 8.079999999999998e-32 2.5741999999999995e-32 1.762e-31 2.2631e-32 3.257e-31 4.038199999999999e-32 4.206e-31 5.3558e-32 4.3319999999999995e-31 9.259999999999999e-32 4.653999999999999e-31 5.46e-32 2.4989999999999996e-31 1.6469999999999998e-31 5.962e-31 6.9e-32 North 0.722 0.4198 -14.3505 0.0 0.0 0.0 0.0 7.0 3.45 3.0210000000000004 0.09640449438202243 -99.0 1 z4_GND_18876 HRG14 J123629.56+621502.6 189.123184 62.25072900000001 3.45 0.5 3.99 -18.01 -18.65 -17.7
189.21058714 62.304670516 10843.396 14206.482 4.11e-32 3.4891999999999994e-32 1.8559999999999998e-31 3.0743999999999995e-32 4.081e-31 4.837299999999998e-32 2.977e-31 6.051199999999998e-32 2.49e-32 2.219e-31 1.8969999999999998e-31 4.79e-32 1.6399999999999995e-31 1.9309999999999997e-31 3.601e-31 5.629999999999997e-32 North 0.0101 0.6356 19.105 8.0 0.0 0.0 0.0 2.0 3.46 0.365 0.6939461883408071 0.9907 -99 z4_GND_42557 HRG14 J123650.55+621816.8 189.210617 62.30468000000001 3.46 0.61 3.87 -18.7 -19.08 -18.38
189.29695108 62.174071728 8426.764000000001 6371.4919999999975 1.6979999999999999e-31 4.0991999999999997e-32 3.409e-31 3.0865999999999994e-32 4.673e-31 5.477799999999997e-32 5.0169999999999995e-31 6.667299999999999e-32 5.214e-31 4.2499999999999996e-32 5.282e-31 5.75e-32 1.1609e-30 2.805e-31 4.834e-31 7.719999999999997e-32 North 0.0153 0.1367 26.1778 8.0 0.0 0.0 0.0 3.0 3.48 3.679 0.04441964285714282 0.4867 1 z4_GND_3077 HRG14 J123711.26+621026.6 189.296936 62.174061 3.48 0.53 3.75 -19.19 -19.3 -18.8
189.27963291 62.28445670000001 8917.016 12994.143 -1.04e-32 3.9222999999999996e-32 2.68e-31 3.3977e-32 3.7119999999999996e-31 5.160599999999999e-32 4.2799999999999994e-31 6.392799999999997e-32 2.814e-31 7.4e-32 4.622e-31 7.35e-32 2.955e-31 2.426e-31 6.067e-31 8.449999999999999e-32 North 99.0 99.0 99.0 1.0 0.0 0.0 0.0 2.0 3.49 3.624 0.02984409799554553 -99.0 1 z4_GND_44672 HRG14 J123707.12+621704.0 189.279648 62.284458 3.49 3.02 3.82 -19.53 -19.75 -19.24
189.25266517 62.165528125 9666.899 5857.991 1.7629999999999995e-31 4.4164e-32 7.819e-31 3.7332e-32 1.1504e-30 5.605899999999999e-32 1.1448999999999997e-30 7.143099999999998e-32 1.2451e-30 6.949999999999997e-32 1.519e-30 7.44e-32 1.1466e-30 2.404e-31 1.4433e-30 9.839999999999999e-32 North 5.2011 0.7857 69.4856 4.0 0.0 0.0 0.0 1.0 3.49 3.324 0.036971046770601416 -99.0 1 z4_GND_1924 HRG14 J123700.64+620955.9 189.252655 62.165539 3.49 0.41 3.63 -20.74 -20.84 -20.65
189.24861325 62.24107883 9781.814 10390.996 1.0279999999999999e-31 3.8673999999999987e-32 5.9349999999999995e-31 3.0927e-32 9.189e-31 4.8921999999999994e-32 8.554e-31 6.411099999999997e-32 9.38e-31 8.449999999999999e-32 9.228e-31 5.98e-32 9.463e-31 2.052e-31 1.3156e-30 8.289999999999999e-32 North 0.8440000000000001 0.3142 82.0921 0.0 0.0 0.0 0.0 1.0 3.49 3.4730000000000003 0.0037861915367483076 -99.0 1 z4_GND_22271 HRG14 J123659.66+621427.9 189.248596 62.24108100000001 3.49 0.71 3.77 -19.36 -19.58 -19.13
189.27532729 62.152780151 9031.465 5093.458 2.0559999999999997e-31 4.4469e-32 7.246999999999998e-31 3.7941999999999996e-32 1.0408e-30 6.667299999999999e-32 1.3050999999999998e-30 8.722999999999999e-32 1.3703999999999999e-30 4.45e-32 1.9380000000000002e-30 6.02e-32 0.0 0.0 2.8356999999999997e-30 8.16e-32 North 0.8528 0.8866 73.0023 0.0 0.0 0.0 0.0 7.0 3.49 3.244 0.05478841870824063 -99.0 1 z4_GND_743 HRG14 J123706.08+620910.0 189.275345 62.152775 3.49 3.17 3.79 -19.61 -19.88 -19.4
189.37901737 62.234205415 6136.696999999999 9983.386999999999 1.7199999999999995e-31 5.428999999999998e-32 3.499e-31 3.3061999999999983e-32 8.151e-31 4.953199999999998e-32 9.606999999999999e-31 6.350099999999998e-32 9.916999999999999e-31 8.64e-32 1.5363999999999995e-30 5.909999999999997e-32 2.0024e-30 2.0059999999999996e-31 2.0982e-30 8.63e-32 North 6.3775 0.1574 -56.8572 4.0 0.0 0.0 0.0 7.0 3.49 3.185 0.06792873051224947 -99.0 1 z4_GND_24650 HRG14 J123730.96+621403.1 189.378998 62.234207 3.49 0.56 3.89 -20.48 -20.9 -20.53
