ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GSDY-2245251330 - - 53.102202828 -27.85919042 0.023$\pm$0.042 0.396$\pm$0.054 0.3$\pm$0.07 South
GSDY-2209651370 - - 53.087341087 -27.86029384 0.147$\pm$0.039 0.476$\pm$0.052 0.549$\pm$0.067 South
GSDY-2207551329 - - 53.086455021999996 -27.85914851 0.053$\pm$0.05 0.22$\pm$0.052 0.412$\pm$0.068 South
GSDY-2180951184 z8_GSD_32912 - 53.075380062 -27.85513079 0.09$\pm$0.062 0.314$\pm$0.052 0.346$\pm$0.073 South
GSDY-2209748534 z8_GSD_21106 - 53.087421683 -27.81484999 0.106$\pm$0.049 0.5$\pm$0.053 0.569$\pm$0.071 South
GSDY-2265446328 - - 53.110593505 -27.7757868 0.075$\pm$0.038 0.277$\pm$0.054 0.325$\pm$0.072 South
GSDJ-2697562835 - - 53.112398823 -27.77453221 -0.031$\pm$0.038 0.214$\pm$0.058 0.578$\pm$0.082 South
XDFJ-3811362435 - - 53.158814019 -27.77342404 -0.006$\pm$0.008 0.012$\pm$0.011 0.053$\pm$0.01 XDF
- z7_GND_8012 - 189.26040207 62.289405518 0.352$\pm$0.045 0.663$\pm$0.052 0.742$\pm$0.064 North
- z7_GND_7831 - 189.17732366 62.291059776000004 0.453$\pm$0.133 0.696$\pm$0.048 0.787$\pm$0.069 North
- z7_GND_18323 - 189.3713783 62.252149538999994 0.404$\pm$0.05 0.781$\pm$0.06 1.066$\pm$0.075 North
- z7_GND_44109 - 189.17716747 62.291514185 0.364$\pm$0.156 0.527$\pm$0.048 0.62$\pm$0.065 North
- z7_GND_41546 - 189.15968774 62.31054151399999 0.242$\pm$0.185 0.313$\pm$0.051 0.47$\pm$0.072 North
GNDY-6290917113 z7_GND_44524 - 189.12118679 62.286398313 0.242$\pm$0.043 0.568$\pm$0.048 0.404$\pm$0.069 North
- z7_GND_6451 - 189.22199482 62.315760628 0.174$\pm$0.188 0.671$\pm$0.054 0.504$\pm$0.071 North
- z7_GND_34385 - 189.31674531 62.205446242 0.136$\pm$0.043 0.444$\pm$0.052 0.463$\pm$0.07 North
- z7_GNW_32502 - 189.28579968 62.35497492 0.364$\pm$0.118 0.463$\pm$0.147 0.796$\pm$0.14 North
GNWY-6200412096 z7_GNW_15559 - 189.08350407 62.202584802 0.372$\pm$0.105 0.879$\pm$0.101 1.061$\pm$0.137 North
- z7_GNW_14500 - 188.92016426 62.194965528000004 0.418$\pm$0.107 0.682$\pm$0.124 0.731$\pm$0.159 North
GNDY-6556812087 z8_GND_35384 - 189.23198703 62.20233704 0.195$\pm$0.051 0.369$\pm$0.061 0.41$\pm$0.079 North
- z8_GND_32588 - 189.32532551 62.210959753999994 0.093$\pm$0.042 0.37$\pm$0.053 0.364$\pm$0.069 North
GNDY-7274212447 z8_GND_32082 - 189.36429416 62.212319546 0.136$\pm$0.051 0.404$\pm$0.054 0.378$\pm$0.07 North
- z8_GND_22233 - 189.24982873 62.2412296 0.283$\pm$0.081 0.617$\pm$0.059 0.694$\pm$0.074 North
- z8_GND_23069 - 189.10942872 62.2387994 0.042$\pm$0.088 0.391$\pm$0.054 0.419$\pm$0.071 North
GNDY-6487514332 z8_GND_21784 - 189.20307091 62.24250188600001 0.304$\pm$0.071 0.649$\pm$0.054 0.607$\pm$0.077 North
- z8_GND_34295 - 189.15912626 62.205762512 0.332$\pm$0.09 1.131$\pm$0.054 1.099$\pm$0.076 North
GNDY-6474515254 z8_GND_16634 - 189.19777387 62.256963365 0.084$\pm$0.103 0.381$\pm$0.057 0.361$\pm$0.081 North
GNDY-7120316495 z8_GND_9408 - 189.30013739 62.28035358899999 0.18$\pm$0.057 0.5$\pm$0.058 0.47$\pm$0.065 North
